case,kind,indicator,snr_db,Px_ref,sigma,mc_id,t_first_any,t_valid,delay,premature_alarm,seed,indicator_name
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,43,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260345,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,44,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260346,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,45,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260347,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,46,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260348,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,47,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260349,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,48,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260350,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,49,6.742524999987621,6.742524999987621,1.3767547912003932,False,21260351,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,0,6.732524999987644,6.732524999987644,1.3667547912004165,False,20760302,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,1,6.7625249999875745,6.7625249999875745,1.3967547912003466,False,20760303,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,2,6.722524999987668,6.722524999987668,1.3567547912004398,False,20760304,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,3,6.742524999987621,6.742524999987621,1.3767547912003932,False,20760305,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,4,6.742524999987621,6.742524999987621,1.3767547912003932,False,20760306,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,5,6.722524999987668,6.722524999987668,1.3567547912004398,False,20760307,MaxEnt_SPRT
